Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"USB-C Power Delivery Controller","STUSB4500","USB-C Power Delivery controller for charging and external power supply.","electrical","power",1,4.00,4.00,"https://www.digikey.com/en/products/result?keywords=STUSB4500"
"Power Management IC (PMIC)","TI BQ25798","Advanced power management IC for efficient charging and discharge of the LiPo battery.","electrical","power",1,12.00,12.00,"https://www.digikey.com/en/products/result?keywords=BQ25798"
"Accelerometer & Gyroscope","MPU6050","6-axis accelerometer and gyroscope for measuring orientation and angular velocity, crucial for balancing.","electrical","sensor",1,3.00,3.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JxwX2riMegVivyOdXeirJqoSBQyaavXhdq6mOTcHU0HDp9fGMr0CMDB4MLFbBmnWl5YPV6UTJ3j1w1UZnz9gCQRlOSPW4ynQkhc52CvlZf0V3tOtnJ11shcHcL3eLDBXNGmFXnt0w5pN53JgvWtbFdfVHqSzqcTWq0aBacNuhNq4EFxwu7DvAPgNk9dDEO3AlKhnkQwhAOgzFHig5zHjiFQLBSFlmh4tsQiHFOpLXQPfrP0YCaJmrkYc6yDIFdVfcoDCkXfzVpqf7aieAs6gVHwd12xeESjTifntq7uPKeG4SNwfdBUoqN6MqU25EsaW184FNkRTyN0vawSl1F3UQV08yz0OVNfcMbPHYyxBzf3bquifzkJjFiB1BWRIOqaX3eDPE8sv3hninrqFAp7pQ2on8i3qvPMGc1XKlyOF3s3C2F4Ehrx9taG3U34bIs0Gj7EyXdYtiDCbdydHYRyZZMNFElbHwZeLUiSTJqBMDFUUoA9Nc2t9RdNYhf764gVD3U00zIoAFR0medQkFFZf0S7WdnmZ6ofTT1aU3od9ra3GyOwDenKPKTZyMZzVZhrlLC9WcQhcfq5l4XIDvOLwpDakm1Qg3ebCJ3ex53oSZkcQtUnjHGuj1DdPOloAJ3I6RdCXmKW9sFwfMIz4Mus4uFWbt"
"Power Button","Tactile Push Button 6x6mm","Tactile button for 'Up' input.","electrical","sensor",1,0.50,0.50,"https://www.digikey.com/en/products/result?keywords=tactile+push+button+6x6"
"Function Button 1","Tactile Push Button 6x6mm","Tactile button for 'Up' input.","electrical","sensor",1,0.50,0.50,"https://www.digikey.com/en/products/result?keywords=tactile+push+button+6x6"
"Function Button 2","Tactile Push Button 6x6mm","Tactile button for 'Up' input.","electrical","sensor",1,0.50,0.50,"https://www.digikey.com/en/products/result?keywords=tactile+push+button+6x6"
"Scroll Wheel Rotary Encoder","Alps EC11 Rotary Encoder","Rotary encoder for scroll wheel movement, without detents for smooth scrolling.","electrical","sensor",1,2.50,2.50,"https://www.digikey.com/en/products/result?keywords=Alps+EC11"
"Compact Multi-Axis Joystick","Analog Joystick Module KY-023","Provides flight control input (e.g., thrust vectoring or rotation) for main MCU.","electrical","sensor",1,4.00,4.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JxRLoJEDffS6r1dHjCbox5rMmpZco1XjLCW3jcjibdnieBImJ9440FEVGaVB3BjUVrKjZnnSDTdcz3v5YypqxN5YuqXTGBS7K5bcpa4T1MPFlyY4rIBdaNsW9ub1mYpqMuofQD5kG9ZU1N2bSl3Gxegszhr7jP0RdBQra59YSp8zOI4gZwv2g8Ciwk76UmA2djI3hEDSd0vzfEG4m6K7EMTLKv4SP8NGpVLM54h5syGL2D3J18Au6vkYUfzypxkxIU4jMZSgCDHmVCp6YF9vPVOWmWefQjTgpq0seNBQCqCFe25kW3wogW4Yvunw1qnJAcQZ31cS3LC9BJ9k2biSPTsWgnVZUib8WfQjTrKyw24bBiKYNSUuPTO7WuDL6vZjIZWwZozCV0SydhXvFWiLKo81ENIpMJKSz0pF2vSct1RoMitfkGKnBwTXgqVP8nup8PFA2QFUMbmnU2va4OysyflGMuT8Gr2pZoRcEysw8ucU0KzarXRtoLB31gLahQTQM4E8VcNhjTXjgZU03pyyWs2OgPWiZkBvVVCWRTwZr398qwiQ5zJo7Y9u4Qj69XEERfRI8wCSvVlzekkUIFGMVGXJLmmKiasGddzzVhiU9OGE1AVMr2NNKhuwuK7Qs69nLwNklNAuJaWNkuUY4kCLJGUoj"
"Front Enclosure Housing","","Custom 3D-printed front shell, designed to hold the 4K AMOLED display and provide cutouts for user input components.","mechanical","enclosure",1,5.00,5.00,"https://www.amazon.com/s?k=ABS+filament"
"Rear Enclosure Housing","Rear Casing","Custom 3D-printed rear shell, designed to house the main PCB, battery, and provide ventilation/antenna pass-throughs.","mechanical","enclosure",1,5.00,5.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JxQviQCN0moYrt3bnTXA1AQ01jLZd4ceeOEeGPXgJbVKRXBXFElxwBtGCZpqSMKHeeHp77Qtrgi6j1vihGr9PemvkxC5JT1ZtnooUcPHi0hliFFO2gHlRh3VvC2MrII2NAYbNABWQmIlkFmpDrnsbYX6ucft3kIIfeljbU7Dpyc1D7E39I6ZrVh4mCShtzc5ZdmasCglofJc2jcc1u1ZQrjsCHrRYl3f95Ge4cciVb78BVXoj1hV774Zopt7pSUU3fDR5Jmt4nkRM5cIm9MNYAITdqwL0sXi7gxLGx67pF4DLXE7CBcUClLJIXnqdcBFYV5KQaIh32PZJlVVPuDk1lX08OyuuV8hJdDHDKcj0XF8v96RxsbjDmzj80LQ3Erf1PRtLcUsPbqcj6QbYop1n5lhVb9zCSUHAy9XserYjz14oFVdy3kFOkaUh2PIzbQl756dYcPVkOxHd892OvNGEgNc3o8kiHeUsdw6Z7GAP0Acu0toRJZPVtWkfJhSMnbJgQDlxRhRoysjFwD0xKO9EX2MeFTvWNRokMUAEugLAUFree4I23PFN9McWHPDwWuQiwb79wRj8uZ652lTEUB2Ownwf4BkYb7IfqDHWb1jscPfYFaBf7XQp2ZPrJY5ZpiKRUgSYJliuNwIyiZ8nolQ1Zq7D"
"Display Bezel","","Thin custom 3D-printed bezel to secure and frame the 4K AMOLED display within the front housing.","mechanical","3d_printed",1,0.50,0.50,"https://www.amazon.com/s?k=ABS+filament"
"Main PCB Mount","","Custom 3D-printed internal bracket to securely mount the main PCB within the rear enclosure.","mechanical","3d_printed",1,1.50,1.50,"https://www.amazon.com/s?k=PETG+filament"
"Battery Holder","","Custom 3D-printed holder to cradle and secure the Li-Po battery inside the enclosure, preventing movement.","mechanical","3d_printed",1,0.75,0.75,"https://www.amazon.com/s?k=PETG+filament"
"Power Button Mount","","Small 3D-printed part to hold and align the tactile power button within the enclosure opening.","mechanical","3d_printed",1,0.10,0.10,"https://www.amazon.com/s?k=ABS+filament"
"Function Button 1 Mount","","Small 3D-printed part to hold and align the tactile function button 1 within the enclosure opening.","mechanical","3d_printed",1,0.10,0.10,"https://www.amazon.com/s?k=ABS+filament"
"Function Button 2 Mount","","Small 3D-printed part to hold and align the tactile function button 2 within the enclosure opening.","mechanical","3d_printed",1,0.10,0.10,"https://www.amazon.com/s?k=ABS+filament"
"Scroll Wheel Mount","","Custom 3D-printed bracket to securely mount the scroll wheel encoder to the front housing.","mechanical","3d_printed",1,0.25,0.25,"https://www.amazon.com/s?k=PETG+filament"
"Joystick Mount","","Custom 3D-printed support for the compact multi-axis joystick, ensuring precise movement and secure attachment.","mechanical","3d_printed",1,0.30,0.30,"https://www.amazon.com/s?k=ABS+filament"
"M2x6mm Mounting Screws","M2x6mm Phillips Head Screws","Small machine screws for securing internal components like PCBs and modules to 3D-printed mounts.","mechanical","misc",20,0.05,1.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3xpjK0z5F4tXx7la8qLVQd4zJbXyg9djn5hqcn5eiz59QLSqGniXp8mL2a5X6S8FmRKmesnsvuIta9oFWYUBvK3XARQ5ovQ4sVFNCvQWPvG5oJlpGOYaOnw9xNSkO9LqmIQMLuK8d7XscVpa2my7ZqyqbCpoch6YjvEA2pj8NQZ3HcWjO5RedSpuZ6RQJZQrDsdKFujLv4pUzkjHN0F1KZEBurIiJgKVg2YdlUerHCCy0waMeMviH2f6Id4QXLk5YHjOUm3u29v9EC7CYtEGZvNj1vjB5XISsBk2kAULMwI1lV3N2mTUHiEIJYQ7M5Mo8hontVyc4u5Drw7FFwzr9GhMHJUrWAsOgqrw57xCPwBs0hMR56OHWYVjGhVuWHZP0dh6bmDweDESW9XxcjBE4lZulqqkJ8pIw1nSIvNzo45zhtCwdRMX7k3pvG24icFoFuWxwAbseqvL3XUMnfEwFsITT0HsjfGuk5SBzuy0ul9Fhupc9fRd7l7F46tZM4Cp6E8m1N6hbGFjmw3OxCWgP5D0hWPhaI0vYaJl1ZUWE1StSz2C6AgBAuYM3OhIQBSCZKKpt9Kn9A4uG4GdauK0oEPphLGF8BRgSGbLSwuH0zvdMCkMYxE52aiwSW94PWRaKESnEKdgoZf141K9W5ElKIMbh1k7yKt8yK9YeSA3rQMICPHq2dY2Zl"
"M3x10mm Enclosure Screws","M3x10mm Countersunk Screws","Screws for fastening the front and rear enclosure halves together.","mechanical","misc",4,0.10,0.40,"https://www.amazon.com/dp/B0CT4LM8HS?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"M2 Heat Set Inserts","M2 Brass Heat Set Inserts","Brass threaded inserts for creating strong thread points in 3D-printed parts for M2 screws.","mechanical","misc",20,0.15,3.00,"https://www.adafruit.com/product/4255"
"M3 Heat Set Inserts","M3 Brass Heat Set Inserts","Brass threaded inserts for creating strong thread points in 3D-printed parts for M3 screws.","mechanical","misc",4,0.20,0.80,"https://www.adafruit.com/product/4255"
"LPDDR5 RAM Module Mount","","Adapter plate for the LPDDR5 RAM Module that bolts to the main chassis with M3 hardware. Includes wire-routing channels.","mechanical","3d_printed",1,2.00,2.00,""
"NVMe Internal Storage 256GB Mount","","Adapter plate for the NVMe Internal Storage 256GB that bolts to the main chassis with M3 hardware. Includes wire-routing channels.","mechanical","3d_printed",1,2.00,2.00,""
"Wi-Fi 6E & Bluetooth 5.3 Module Mount","","Adapter plate for the Wi-Fi 6E & Bluetooth 5.3 Module that bolts to the main chassis with M3 hardware. Includes wire-routing channels.","mechanical","3d_printed",1,2.00,2.00,""
"NFC Module Mount","","Adapter plate for the NFC Module that bolts to the main chassis with M3 hardware. Includes wire-routing channels.","mechanical","3d_printed",1,2.00,2.00,""
"Sub-GHz Transceiver (433/868/915 MHz) Mount","","Adapter plate for the Sub-GHz Transceiver (433/868/915 MHz) that bolts to the main chassis with M3 hardware. Includes wire-routing channels.","mechanical","3d_printed",1,2.00,2.00,""
"Multi-Frequency RFID Module Mount","","Adapter plate for the Multi-Frequency RFID Module that bolts to the main chassis with M3 hardware. Includes wire-routing channels.","mechanical","3d_printed",1,2.00,2.00,""
"Touchscreen Controller IC Mount","","Adapter plate for the Touchscreen Controller IC that bolts to the main chassis with M3 hardware. Includes wire-routing channels.","mechanical","3d_printed",1,2.00,2.00,""
"Accelerometer & Gyroscope Mount","","Form-fitting cradle for the Accelerometer & Gyroscope that holds the sensing surface in its rated orientation. Snap-fit retention so it can be removed for calibration without tools.","mechanical","3d_printed",1,2.00,2.00,""
